Customer_ID,Last_Name,Credit Score,Country,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard?,IsActiveMember,Estimated Salary,ExitedFromBank?
15634602,Hargrave,619,France,Female,42,2,0.0,1,True,True,101348.88,True
15619304,Onio,502,France,Female,42,8,159660.8,3,True,False,113931.57,True
15574012,Chu,645,Spain,Male,44,8,113755.78,2,True,False,149756.71,True
15656148,Obinna,376,Germany,Female,29,4,115046.74,4,True,False,119346.88,True
15737452,Romeo,653,Germany,Male,58,1,132602.88,1,True,False,5097.67,True
15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,True,False,118913.53,True
15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,True,False,140469.38,True
15794171,Lombardo,475,France,Female,45,0,134264.04,1,True,False,27822.99,True
15738148,Clarke,465,France,Female,51,8,122522.32,1,False,False,181297.65,True
15755196,Lavine,834,France,Female,49,2,131394.56,1,False,False,194365.76,True
15602280,Martin,829,Germany,Female,27,9,112045.67,1,True,True,119708.21,True
15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,True,True,117622.8,True
15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,False,False,164040.94,True
15569590,Yoo,601,Germany,Male,42,1,98495.72,1,True,False,40014.76,True
15623944,T'ien,511,Spain,Female,66,4,0.0,1,True,False,1643.11,True
15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,True,False,28373.86,True
15663706,Leonard,777,France,Female,32,2,0.0,1,True,False,136458.19,True
15762418,Gant,750,Spain,Male,22,3,121681.82,1,True,False,128643.35,True
15622897,Sharpe,646,France,Female,46,4,0.0,3,True,False,93251.42,True
15757535,Heap,647,Spain,Female,44,5,0.0,3,True,True,174205.22,True
15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,True,True,177655.68,True
15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,True,True,30984.59,True
15744689,T'ang,479,Germany,Male,35,9,92833.89,1,True,False,99449.86,True
15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,False,True,101300.94,True
15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,True,False,199725.39,True
15627360,Fuller,432,France,Male,42,9,152603.45,1,True,False,110265.24,True
15671137,MacDonald,549,France,Female,52,1,0.0,1,False,True,8636.05,True
15782688,Piccio,625,Germany,Male,56,0,148507.24,1,True,False,46824.08,True
15594408,Chia,584,Spain,Female,48,2,213146.2,1,True,False,75161.25,True
15640905,Vasin,579,Spain,Female,35,1,129490.36,2,False,True,8590.83,True
15713483,Greeves,793,Spain,Male,52,2,0.0,1,True,False,159123.82,True
15612350,Taylor,691,France,Female,31,5,40915.55,1,True,False,126213.84,True
15759618,Alexeeva,535,France,Female,48,9,0.0,1,True,False,149892.79,True
15679145,Chou,706,Spain,Male,57,7,0.0,1,True,False,17941.16,True
15658929,Taverner,683,Spain,Male,29,0,133702.89,1,True,False,55582.54,True
15724623,Taubman,704,Germany,Female,24,7,113034.22,1,True,False,162503.48,True
15574692,Pinto,667,Spain,Female,39,2,0.0,2,True,False,40721.24,True
15651022,Yost,480,Germany,Male,44,10,129608.57,1,True,False,5472.7,True
15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,True,False,8080.85,True
15719377,Cocci,804,France,Female,50,4,0.0,1,True,True,8546.87,True
15726931,Onwumelu,715,France,Female,41,8,56214.85,2,False,False,92982.61,True
15600974,He,516,Spain,Male,50,5,0.0,1,False,True,146145.93,True
15727868,Onuora,711,France,Female,38,2,129022.06,2,True,True,14374.86,True
15755262,McDonald,608,Spain,Female,41,3,89763.84,1,False,False,199304.74,True
15684181,Hackett,643,France,Male,45,5,0.0,1,True,False,142513.5,True
15723488,Watson,668,Germany,Male,47,7,106854.21,1,False,True,157959.02,True
15659366,Shih,807,France,Male,43,1,105799.32,2,True,False,34888.04,True
15774854,Fuller,592,France,Male,54,8,0.0,1,True,True,28737.71,True
15733247,Stevenson,850,France,Male,33,10,0.0,1,True,False,4861.72,True
15568748,Poole,671,Germany,Male,45,6,99564.22,1,True,True,108872.45,True
15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3,True,True,85746.52,True
15637753,O'Sullivan,751,Germany,Male,50,2,96888.39,1,True,False,77206.25,True
15772896,Dumetochukwu,763,Germany,Male,42,6,100160.75,1,True,False,33462.94,True
